randomisationGroup,totalMessages,microDialogCount,poolCount,minPoolVariants,maxPoolVariants,needsTopup,microDialogs
r_FeedbackOnPoorOverallCompliance_Stage1,1,1,1,1,1,yes,FinalPhase
r_FeedbackOnPoorOverallCompliance_Stage2,1,1,1,1,1,yes,FinalPhase
r_FeedbackOnPoorOverallCompliance_Stage3,1,1,1,1,1,yes,FinalPhase
r_GoodByeMessageAfterFailedAttemptAtSpirometry,1,1,1,1,1,yes,Quit spirometry dialog after unsuccessful spirometry procedure
r_GoodByeMessageAfterTooManySpirometryReminders,1,1,1,1,1,yes,Quit spirometry dialog after too many spirometry reminders
r_InquireAboutRepeatingSpirometry,1,1,1,1,1,yes,Prompt patient to conduct daily spirometry
r_InquireNewTimeForSleepMonitoringOutcomesReview,1,1,1,1,1,yes,Medical feedback sleep quality
r_InquireNewTimeForSpirometryOutcomesReview,1,1,1,1,1,yes,Medical Feedback lung function
r_InquiryInterestInLotteryDrawing_Stage2,1,1,1,1,1,yes,Introduction of weekly incentive
r_InquiryInterestInLotteryDrawing_Stage3,1,1,1,1,1,yes,Introduction of weekly incentive
r_InstructionsOnHowToAccessSleepMonitoringOutcomes,1,1,1,1,1,yes,Medical feedback sleep quality
r_InstructionsOnHowToAccessSpirometryOutcomes,1,1,1,1,1,yes,Medical Feedback lung function
r_IntroductionOfWeeklyIncentive_Stage0,1,1,1,1,1,yes,Introduction of weekly incentive
r_IntroductionOfWeeklyIncentive_Stage10,1,1,1,1,1,yes,Introduction of weekly incentive
r_IntroductionOfWeeklyIncentive_Stage11,1,1,1,1,1,yes,Introduction of weekly incentive
r_IntroductionOfWeeklyIncentive_Stage12,1,1,1,1,1,yes,Introduction of weekly incentive
r_IntroductionOfWeeklyIncentive_Stage4,1,1,1,1,1,yes,Introduction of weekly incentive
r_IntroductionOfWeeklyIncentive_Stage5,1,1,1,1,1,yes,Introduction of weekly incentive
r_IntroductionOfWeeklyIncentive_Stage6,1,1,1,1,1,yes,Introduction of weekly incentive
r_IntroductionOfWeeklyIncentive_Stage7,1,1,1,1,1,yes,Introduction of weekly incentive
r_IntroductionOfWeeklyIncentive_Stage8,1,1,1,1,1,yes,Introduction of weekly incentive
r_IntroductionOfWeeklyIncentive_Stage9,1,1,1,1,1,yes,Introduction of weekly incentive
r_LastMinuteSpirometryOrGiveUpUntilNextDay,1,1,1,1,1,yes,Clearing microdialogs of the day related to spirometry
r_MotivationForNextDaySpirometry,1,1,1,1,1,yes,Clearing microdialogs of the day related to spirometry
r_PositiveFeedbackAndQueryAssistance,1,1,1,1,1,yes,Offer assistance
r_PostponeSleepQualityReview,1,1,1,1,1,yes,Medical feedback sleep quality
r_PostponeSpirometryOutcomesReview,1,1,1,1,1,yes,Medical Feedback lung function
r_PromptForNighttimeMonitoring_Stage2,1,1,1,1,1,yes,Prompt patient to prepare for nighttime monitoring
r_PromptForNighttimeMonitoring_Stage3_Push,1,1,1,1,1,yes,Prompt patient to prepare for nighttime monitoring
r_PromptForSpirometry_Stage2,1,1,1,1,1,yes,Prompt patient to conduct daily spirometry
r_PromptForSpirometry_Stage4,1,1,1,1,1,yes,Prompt patient to conduct daily spirometry
r_PromptForWatchingEducationalContent_Stage2,1,1,1,1,1,yes,Interaction with educational content and rescheduling
r_QueryAboutPotentialNeedToRescheduleClinicVisit,1,1,1,1,1,yes,Reminder quarterly clinic visits
r_StartACQ,1,1,1,1,1,yes,Attic
r_StartSleepQualityReview,1,1,1,1,1,yes,Medical feedback sleep quality
r_StartSpirometry,1,1,1,1,1,yes,Prompt patient to conduct daily spirometry
r_StartSpirometryOutcomesReview,1,1,1,1,1,yes,Medical Feedback lung function
r_ThanksForCarryingOutSpirometryMeasurement,1,1,1,1,1,yes,Prompt patient to conduct daily spirometry
